id,catalogNumber,scientificName,longitude,latitude,scientificNameOriginal,rank,family,genus,species,subspecies,locality,coordinateUncertaintyInMetres,state,year,basisOfRecord,outlierForLayer,taxonIdentificationIssue,locationQuality,dataProvider
NA,SPJGI3684290,Calotis glandulosa,147.9659107,-31.45789512,NA,NA,Asteraceae,NA,NA,NA,"""Haddon Rig"" Station. Enteropogon dominant. Soils: grey heavy clay, pH 5.0 at surface, 5.5 at 10cm depth.",NA,NA,2000,NA,NA,NA,NA,BioNet
ac1828fe-c199-4ec4-ac06-9e7ca25b047a,NSW 66364,Calotis glandulosa,148.5,-35.87,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Borders of Cooleman Plain, near Kiandra. Currango sheet 660 020.",25000,New South Wales,1962,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
109d1a4f-2b9b-4c9d-8edc-410bcd644a9b,CANB 480708.1,Calotis glandulosa,148.55,-36.4833,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Moonbah RC Cemetery, Southern Tablelands.",1000,New South Wales,1994,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
2670f657-a5ef-4f6f-ac84-ce69b3684ee6,NSW 369554,Calotis glandulosa,148.55,-36.48,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,Moonbah RC Cemetery.,1000,New South Wales,1994,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
dc0d4a22-df9f-4ca0-8c4c-04a25e730f48,CANB 510056.1,Calotis glandulosa,148.55,-35.6667,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Kosciuszko National Park, Long Plain, 7.1 kms north of the Snowy Mountains Highway, along Long Plain road, east side of road.",1000,New South Wales,1998,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663214,Calotis glandulosa,148.55006,-35.70146,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SDMPI0061050,Calotis glandulosa,148.5502303,-35.69917713,NA,NA,Asteraceae,NA,NA,NA,Long Plain Specified Reserve: Kosciuszko NP,NA,NA,2002,NA,NA,NA,NA,BioNet
NA,SJJSI0663198,Calotis glandulosa,148.55031,-35.69911,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663188,Calotis glandulosa,148.55032,-35.69934,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663209,Calotis glandulosa,148.55039,-35.69902,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SPJGI5022948,Calotis glandulosa,148.5505843,-36.49327576,NA,NA,Asteraceae,NA,NA,NA,"Moonbah Cemetery LOCATION DETAILS: Moonbah Church, Barry Way south of Jindabyne",NA,NA,1996,NA,NA,NA,NA,BioNet
NA,NSW369554,Calotis glandulosa,148.5512371,-36.48178559,NA,NA,Asteraceae,NA,NA,NA,Moonbah RC Cemetery.,NA,NA,1994,NA,NA,NA,NA,BioNet
NA,SJJSI0663219,Calotis glandulosa,148.55131,-35.70121,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
b0f43550-19e6-4d17-b64d-3528e21bbe2d,CANB 749109.1,Calotis glandulosa,148.5514,-35.7036,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Kosciuszko National Park, Murrumbidgee River, downstream of Port Phillip Fire Trail crossing.",50,New South Wales,2007,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
0269bc8b-cfd1-4cd7-bd13-87276dd29158,CANB 749109.2,Calotis glandulosa,148.5514,-35.7036,Calotis glandulosa F.Muell.,species,Asteraceae,Calotis,Calotis glandulosa,NA,"Kosciuszko National Park, Murrumbidgee River, downstream of Port Phillip Fire Trail crossing.",50,New South Wales,2007,PreservedSpecimen,NA,noIssue,TRUE,Australia's Virtual Herbarium
NA,SJJSI0663216,Calotis glandulosa,148.5514,-35.70134,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663217,Calotis glandulosa,148.5514,-35.70132,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663218,Calotis glandulosa,148.55142,-35.70136,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663215,Calotis glandulosa,148.55158,-35.70146,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663189,Calotis glandulosa,148.55621,-35.67699,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663191,Calotis glandulosa,148.55651,-35.67672,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJJSI0663190,Calotis glandulosa,148.55657,-35.6768,NA,NA,Asteraceae,NA,NA,NA,Long Plain,NA,NA,2018,NA,NA,NA,NA,BioNet
NA,SJOC99033004,Calotis glandulosa,148.5581236,-35.67315609,NA,NA,Asteraceae,NA,NA,NA,Long Plain Road (about 6.2 kms in from the Snowy Mountains H'way) Specified Map No: 8626-4-S Specified Reserve: Kosciuszko NP,NA,NA,1999,NA,NA,NA,NA,BioNet
